obsid,video_id,year,n_rows,n_codeable_turns,n_teacher_turns,n_chars,shared_video_id,sha256
4037,828,3,455,455,200,27862,,55be2ad425e3cf422fcb2cdc9f28e15a72e92e316b55f77c3b14e047aa5fcbfc
4038,830,3,125,125,61,17309,,e32fddcb2e138b36ec9edb2b9dadecc6fb8f3fff8eac09b71da9bbd785adaccc
4039,706,3,145,145,73,18436,,a22bb6b3f2e002135b8682c0b04b81339c6c77dbc6b4e8681fe6acd97677829c
4040,762,3,146,146,72,13520,,0054acf27c8094a78af5a12dee3facc2f001719a870fffb961deddce9f253e16
4041,797,3,367,367,165,22219,,dcc747f0b0eafc11f1454853439a10d9eab65d34caa968526d246f1b45d2c048
4042,798,3,385,385,176,36150,,5419b64bb75800bb60cf0442476a191978d31792fa516eb8bd651d61b4668fd2
4043,765,3,118,118,58,16502,,002e9d462b225c833e7ca1fed618d6feaab1fb7471949262060b476dcd920e03
4044,726,3,249,249,124,29728,,c8d217f33ae1ee284b1b03745e112eb8506dca309bd667bec38029cd032b8988
4045,752,3,45,45,23,11699,,394330597950564208671b928a9e24897b39c1d7e68ead63475c9cad64c7b675
4046,759,3,113,113,59,24041,,55cb409f5eff076615eebad95b3fdbf4af4e1b037c55fe637e09ed9ac41c4860
4047,761,3,25,25,13,11075,,42c9dc64ae5a52fa2c1c2056cc65568ea5ea12a179e52eb1d53d6438d1d56d69
4048,746,3,138,138,68,21063,,bd495da4973a2d11d90ade6817b269bdb52e7568d72fc32988a9bab02ac5877f
4049,774,3,369,369,164,18108,,3ac2716ab97c22e7e29fb1ee7fabca866250fecf1b30f24e0c22bd5acdea92c7
4050,781,3,497,497,238,35986,,f3734461d68b706a3eeadd91ba6947c031a70c8c5dc822e48153fd447b2bb264
4051,729,3,222,222,112,25765,,1c3a25ca90cde533e7dae36b3c904bd2acf8b8c3eaccdf7bce9c7a1d84b837b5
4052,803,3,144,144,74,22501,,c1c4e563415058c693e5c00a5ed5c4f47708871761f1b001fd01e0b96e403724
4053,812,3,739,739,347,47808,,d1769cb44cfab7957decc5da4e7bf9383962b9d85b9151db7abb9b07d70a4418
4054,698,3,288,288,131,28313,,b0773f673e9527268ae3f746f69929f0ebb663793b49671b425147ec325a9044
4055,807,3,111,111,54,13084,,733a658d96eb214799fd72b8e320543ddc0d27434de07d331c545863d40b0205
4057,788,3,153,153,78,23090,,ed2c6e4791c0ea5c21a106b97048552ec4fa462a86f065aa8b12592c370a1a00
4058,789,3,165,165,82,29863,,dba45bc33e894f8d6199b5ca64f84fee902840e1f8b059fb057b656757c4dfc5
4060,772,3,111,111,56,29646,,26e59e4869b8384326cf187384c3a631f8fd302908f169a9ec31973b7bfe99ff
4061,730,3,140,140,68,23851,,5bdfc90fb92c9c413dc29c8d2f2afc165288e2db915c814ac956ef9f8a9826de
4062,770,3,245,245,119,27149,,6a3a60260035e479b35bda2bb3f888412031b9e263d57668be13b725ceb0737d
4063,755,3,405,405,203,46440,,d676f18395a179bb6fe001e69b4ced447650e0e8df7f4ad37eedb4eb238b7107
4064,745,3,509,509,240,35256,,e25dfccc9cc4d4d82ed5b7557671fba0c18700a22927490c6f97b0015ba08456
4065,760,3,700,700,322,42231,,94dfca66d3b3c79e34015ad1e44af07d8eea766b274f7178c700ab7777e4cfdf
4067,813,3,670,670,320,36660,,663ba2fc0b2d554288764ca2f8a95c030e0a99ab842f655fa48e28f543944604
4073,544,3,510,510,219,30641,,5097f36af91861df41f7dc7b1f4208f5d5239146d97f76c77be28321b7bc749f
4074,568,3,298,298,148,21671,,ac6f06c683c6f3206cc0a0eb0396d8ef3e25430a499e8da3158d2b489ec2a75c
